Z:\work\MZ\MTBlake3\x64\Release>MTBlake3.exe D:\temp\test3mix.1CD
v1.1, fileSize: 14461091840, sizeof(buf): 2097152, D:\temp\test3mix.1CD
SGL,  1 Threads, Time: 5.047 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
SGL,  1 Threads, Time: 5.038 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
SGL,  1 Threads, Time: 5.028 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23

TBB, 16 Threads, Time: 3.067 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
TBB, 16 Threads, Time: 3.105 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
TBB, 16 Threads, Time: 3.107 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23

TBB,  2 Threads, Time: 3.874 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
TBB,  2 Threads, Time: 3.886 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
TBB,  2 Threads, Time: 3.884 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23

TBB,  4 Threads, Time: 3.071 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
TBB,  4 Threads, Time: 3.074 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
TBB,  4 Threads, Time: 3.065 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23

OMP,  2 Threads, Time: 3.100 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
OMP,  2 Threads, Time: 3.098 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
OMP,  2 Threads, Time: 3.106 sec, Hash: df27698036f83e2bdbab0beff6b8351e562bdaceeec14f09554344f08b723f23
